Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Impressions,Impressions click-through rate (%)
UuACM2V1wwc,El mejor mirador en Roma,"Jul 30, 2023",9,9,0.0105,0,0.008,33,3.03
Tcb5MPP7oRk,Cold brew con Agua tónica,"Sep 19, 2021",13,8,0.014,0,0.002,18,5.56
0CzHvqKLSpQ,El Borrego al Pastor Están Bien Bueno San Gabriel Jalisco [Mirador Para Juan Rulfo]| AbsaxMéxico🇲🇽,"Sep 14, 2017",1193,8,0.7013,0,1.123,100,7
10E8wf89rC8,Entrevistando a Jose Villalvazo en San Gabriel Jalisco,"May 20, 2021",1661,8,1.0405,0,0.744,68,8.82
BXcqKSXYoag,San Gabriel Jalisco Día De La Función 2020,"Mar 6, 2020",1130,8,1.5574,0,1.031,54,5.56
NtBkzi-_1aA,San Gabriel Jalisco ¿Como Preparan El Pan De San Gabriel?,"Jan 17, 2020",612,8,0.6541,0,0.089,97,4.12
A-8z5HrrHSo,Zapopan Fan fest para el mundial,"Jun 9, 2026",73,8,0.0573,0,0.009,70,4.29
2MvlaHgjYk0,Lo Que Mas Me Gusta De Los Estudiantes Del CETI | Absa Garcia,"Apr 4, 2019",411,7,0.2797,0,0.046,59,8.47
YPInQp5m-Tw,San Gabriel Jalisco El Ultimo Viernes De Las Fiestas 2020,"Feb 21, 2020",1052,7,1.2179,0,0.106,48,4.17
PzhAErw-e-s,Lo mejor de MacOS Sonoma es:,"Jun 16, 2023",51,7,0.0125,0,0.007,25,0
Fl4n-VsY4Bw,"San Gabriel Jalisco, Historia de las Fiestas y del Pueblo | Absa García","Jan 26, 2018",705,7,0.3864,0,0.398,24,16.67
ggYVJ47g20w,30. Fracase eligiendo carrera,"Oct 2, 2023",1037,7,0.0461,0,0.001,11,9.09
ZRisCaEC7G4,El Almacén del Bife en Guadalajara | Absa García,"Sep 30, 2017",520,6,0.1085,0,0.617,64,9.38
rxKsPylaios,Baseball Charros de de Jalisco,"Jan 6, 2022",50,6,0.0198,0,0.005,49,0
9ArYBucjbKw,Ballon Parade 2025 Guadalajara,"May 4, 2025",25,6,0.0108,0,0.001,50,2
NwSxEznqj8g,"DJI Mic, pruebas de calidad adentro de un estadio de futbol","Nov 20, 2023",30,5,0.0036,0,0,11,0
wOJJXnCqZlA,"San Gabriel, El Mejor Viernes De Las Fiestas 2019","Jan 31, 2019",943,5,0.0294,0,,18,5.56
2M6b1T04lgY,Starbucks Reserve Bar Guadalajara Jalisco.  La Nueva Experiencia De Tomar Cafe,"Jul 25, 2019",685,5,0.0387,0,0.398,23,8.7
weDolDTAr-E,San Gabriel Jalisco ¿Como Se Vive Semana Santa?,"Jun 27, 2019",488,5,0.3083,0,0.185,61,4.92
