Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (MXN),Impressions,Impressions click-through rate (%)
KDynh0Whde4,Si se arma el maratón,"Aug 22, 2025",15,,,,,3,0
GScWo49TQ_I,¿Cuántos libros leíste este año? Cuál fue tu favorito?,"Dec 9, 2025",7,,,,,1,0
T4IH9WWZ9eA,¿La Libreta Más Inteligente Del Mundo? Mi Reseña Del Rocketbook Everlast En Español,"Jul 18, 2019",925,,,,,14,0
p8wmnfipqI0,"Emprender, es mi única convicción","Aug 12, 2021",1726,,,,,5,0
H7hBFVJ5brA,016. Practica el Monk Mode,"Feb 24, 2023",829,,,,,7,0
LkKFu8P3Wg8,8 Tips de Como Calmar tu Mente,"Aug 15, 2021",2580,,,,,9,0
GN1xWkxVFFI,Unboxing iPhone 13 Pro Max,"Oct 7, 2021",127,,,,,6,0
SdIJyD_n6Eg,"Talent Land Día 2. Un Día con muchas Frustaciones! [Beakman, Chema Alonso]","Apr 19, 2018",599,,,,,1,0
s8cesa88n08,"iOS 18.2, cambios de UI/UX interesantes 👀 #ios18 #appleevent #apple","Nov 6, 2024",30,,,,,1,0
mg38RyA5jRw,Bebida viral de star wars galaxy edge,"Feb 10, 2026",28,,,,,3,0
13QTcybviE0,Lo Bueno Y Lo Malo De Las Redes Sociales || Podcast Café con Absa,"Aug 2, 2020",2328,,,,,3,0
Vr69yxUdwbI,Lente Imprescindible Para Hacer Fotos Con Tu iPhone - Moment Lens,"Sep 27, 2018",435,,,,,6,0
2ijn1thzSy0,Oasis tocando champagne supernova en vivo en México 🇲🇽,"Sep 14, 2025",32,,,,,29,0
3Kor_b_JeHc,Apple comienza una nueva era sin pantallas,"Jun 6, 2023",52,,,,,1,0
EJQ-w2mY26A,Inteligencia Artificial y Privacidad ¿Qué Esta Pasando? || Café Con Absa,"May 16, 2021",2386,,,,,6,0
pQcT_v_meYE,017. Cómo hacerme millonario según Chatgpt,"Mar 6, 2023",1046,,,,,8,0
C1a8lGlyBjc,Mis Mariachis De Guadalajara ¿Qué Hacen En Un Entrenamiento?,"Jul 22, 2021",634,,,,,9,0
SsOOo2ntAVY,013. Libros que tienes que leer este 2023,"Jan 10, 2023",570,,,,,6,0
qiz4EhbMqYw,"Talent Land Día 3 Conociendo JULIO PROFE y SOPHIA ROBOT, (Todo esto pasó en Jalisco)","Apr 26, 2018",635,,,,,5,0
WEPd1cbig90,La realidad de hacerte bien wey con el scroll de las apps,"Jul 28, 2023",59,,,,,5,0
VpVLYO48QsA,"Tapatío visita por primera vez “Ikea""","Jun 21, 2018",356,,,,,1,0
kawJizsAjbY,Mis 2 grandes pasiones!!,"Aug 19, 2023",10,,,,,2,0
Kho2ssEP4tM,Todo menos trabajar,"Mar 19, 2026",7,,,,,2,0
prl54dSkcsM,"Si ves esto Rick, es broma me gusta ir por los snacks","Apr 22, 2026",8,,,,,5,0
e0_aNN-hHds,018. Quien esta dominando la Inteligencia Artificial,"Jun 18, 2023",931,,,,,9,0
3UC7bubE__s,Tecnológia en mi Rutina Diaria parte 7 #chatgpt #chatgpt4,"Aug 7, 2024",51,,,,,6,0
7F_VSB32iU0,Unboxing y Montaje Paso a Paso Silla Gaming,"Jan 8, 2021",707,,,,,11,0
f8Vg9muCvcc,Talent Land Día 1. Así se vive un evento de tecnología e innovación en Guadalajara,"Apr 12, 2018",629,,,,,4,0
ZTxEEivNH8o,#22 - Tecnología para una vida mejor: Mejorando tu día a día con innovación tecnológica,"Jul 17, 2023",723,,,,,9,0
ueBI1FqnpxA,Cantando wonderwall en oasis,"Sep 25, 2025",24,,,,,1,0
m-wNDcKtRAE,Es broma pero no es broma,"May 17, 2025",27,,,,,1,0
4CUc4FYn_wE,¿Cómo jubilarte a los 30 años? || Podcast Café con Absa,"Jun 13, 2021",2363,,,,,8,0
i37PQkFWL9Q,La Siguiente Revolución es Humana || Podcast Café Con Absa,"Jun 6, 2021",2755,,,,,6,0
Efcz1kCTqXA,Los Nutriologos en Mexico nos estan matando ft Rox de Anda,"Jul 15, 2021",8538,,,,,7,0
6n93B-4ixVk,¿Cuales Son Los Mejores Lugares Para Conocer En San Francisco?,"Mar 8, 2019",506,,,,,6,0
etErW9BKeFo,3 Tips Para Evitar el Agotamiento al Trabajar en Casa Podcast Cafe Con Absa,"May 31, 2020",1857,,,,,3,0
K6yP-rTbCG4,Justin Bieber en Guadalajara,"Jun 3, 2022",61,,,,,3,0
hvzUGpvJSA0,Hábitos de Pobreza || Podcast Café Con Absa,"May 3, 2020",2644,,,,,3,0
8RYF3WM09UU,Alguien sabe que necesito para ser DJ?,"Nov 22, 2023",42,,,,,1,0
70kz-mJ-KBI,Gastos hormiga que quiero hacer…,"Nov 28, 2025",27,,,,,1,0
d0REmDVgomU,Oasis ama a México 🇲🇽,"Sep 14, 2025",22,,,,,2,0
HxtTh00wkXY,"iPad 2018, Las Mejores APP'S PARA ESTUDIANTES.","Mar 30, 2018",597,,,,,5,0
jF6CYALsTTU,Porque empece mi Podcast? #podcast #podcastsenespañol,"Nov 24, 2023",60,,,,,1,0
JxFOI9aqD4g,23 Ventajas y Desventajas de Estudiar en Línea || Podcast Cafe Con Absa,"Mar 29, 2020",3200,,,,,3,0
 -x0MY7u1Ffc,"Ojalá el capitán de mesa que es un amigo, le de sus buenos shots a mi abuela #weddingplanner #boda","Mar 18, 2026",34,,,,,3,0
GhtojKsC-Cw,Dia 1 grabando mi aburrida vida,"Feb 18, 2026",84,,,,,2,0
i9vYzxSMPoo,iOS 14 La Novedad Que Vas Amar Pero Youtube Va A Odiar,"Jun 25, 2020",384,,,,,3,0
ZHQmYiDoG30,"Cafeterias en Guadalajara, Biolento","Sep 18, 2022",153,,,,,18,0
5w6ixDFLBNY,Se rompieron mis Adidas #adidas #adizero,"Mar 25, 2026",87,,,,,4,0
NVVG0JGQXTU,Aquí el running me ha ayudado mucho a perseverar #running,"Jul 17, 2025",7,,,,,6,0
04njFNI35G0,Como Conectar Un Raton Con el iPadOS 13,"Oct 17, 2019",401,,,,,8,0
JvqWzgvODNs,3 gadgets fav para crear contenido,"Mar 19, 2024",29,,,,,1,0
pHuym7hSzs0,¿Porque Debo Respaldar Mi Información? || Absa Garcia,"Jul 23, 2020",686,,,,,3,0
VCG17j7B77c,¿Cómo tener una vida más simple?,"Feb 14, 2022",1469,,,,,8,0
